index	LMseed	ft	clsseed	dataset	F1_score	loss	accuracy
229	0	ft-seed1	20	 valid	 0.4117646813392639	 0.3999001383781433	 0.9052
115	0	ft-seed1	21	 test	 0.6058091521263123	 0.4227277338504791	 0.9050
235	0	ft-seed1	21	 valid	 0.4675324559211731	 0.3723865747451782	 0.9028
2	0	noft	2	 test	 0.5433962941169739	 0.4767005145549774	 0.8790
122	0	noft	2	 valid	 0.4457831382751465	 0.4171012043952942	 0.8910
8	0	noft	3	 test	 0.5438596606254578	 0.37441006302833557	 0.8440
128	0	noft	3	 valid	 0.4421052634716034	 0.36205780506134033	 0.8744
14	0	noft	4	 test	 0.5405405163764954	 0.5173587799072266	 0.8470
134	0	noft	4	 valid	 0.3813953697681427	 0.5903511047363281	 0.8424
20	0	noft	5	 test	 0.5266667008399963	 0.4419504404067993	 0.8580
140	0	noft	5	 valid	 0.4293193817138672	 0.4399767816066742	 0.8709
26	0	noft	6	 test	 0.5324674844741821	 0.41715914011001587	 0.8560
146	0	noft	6	 valid	 0.44897958636283875	 0.4160920977592468	 0.8720
32	0	noft	7	 test	 0.5679012537002563	 0.4777500629425049	 0.8950
152	0	noft	7	 valid	 0.4142857491970062	 0.42049285769462585	 0.9028
38	0	noft	8	 test	 0.5747800469398499	 0.3598693311214447	 0.8550
158	0	noft	8	 valid	 0.44144144654273987	 0.405771940946579	 0.8531
44	0	noft	9	 test	 0.5108224749565125	 0.5093541145324707	 0.8870
164	0	noft	9	 valid	 0.4413793385028839	 0.3927517235279083	 0.9040
50	0	noft	10	 test	 0.5108224749565125	 0.5246335864067078	 0.8870
170	0	noft	10	 valid	 0.447761207818985	 0.4109422266483307	 0.9123
56	0	noft	11	 test	 0.5603448152542114	 0.5133260488510132	 0.8980
176	0	noft	11	 valid	 0.4661653935909271	 0.38057011365890503	 0.9159
62	0	noft	12	 test	 0.5597269535064697	 0.49656251072883606	 0.8710
182	0	noft	12	 valid	 0.44680851697921753	 0.48734134435653687	 0.8768
68	0	noft	13	 test	 0.5232067108154297	 0.5087217688560486	 0.8870
188	0	noft	13	 valid	 0.45255473256111145	 0.3679719567298889	 0.9111
74	0	noft	14	 test	 0.536796510219574	 0.454653263092041	 0.8930
194	0	noft	14	 valid	 0.4755244553089142	 0.34815725684165955	 0.9111
80	0	noft	15	 test	 0.49339210987091064	 0.4725494980812073	 0.8850
200	0	noft	15	 valid	 0.4571428596973419	 0.35398390889167786	 0.9100
86	0	noft	16	 test	 0.5022830963134766	 0.4819789230823517	 0.8910
206	0	noft	16	 valid	 0.3999999761581421	 0.41223767399787903	 0.9040
92	0	noft	17	 test	 0.5546218752861023	 0.48606786131858826	 0.8940
212	0	noft	17	 valid	 0.4313725531101227	 0.4288560152053833	 0.8969
98	0	noft	18	 test	 0.565517246723175	 0.4054659307003021	 0.8740
218	0	noft	18	 valid	 0.4421052634716034	 0.4349640905857086	 0.8744
104	0	noft	19	 test	 0.493506520986557	 0.5580055117607117	 0.8830
224	0	noft	19	 valid	 0.44285714626312256	 0.44473594427108765	 0.9076
110	0	noft	20	 test	 0.5951557159423828	 0.415360689163208	 0.8830
230	0	noft	20	 valid	 0.48275861144065857	 0.39201340079307556	 0.8934
116	0	noft	21	 test	 0.5362318754196167	 0.47137773036956787	 0.8720
236	0	noft	21	 valid	 0.4550897777080536	 0.4185858368873596	 0.8922
3	1	ft-seed0	2	 test	 0.5490196347236633	 0.5724288821220398	 0.8620
123	1	ft-seed0	2	 valid	 0.44117647409439087	 0.6496979594230652	 0.8649
9	1	ft-seed0	3	 test	 0.5754386186599731	 0.4020021855831146	 0.8790
129	1	ft-seed0	3	 valid	 0.4422110617160797	 0.42443081736564636	 0.8685
15	1	ft-seed0	4	 test	 0.6111111044883728	 0.4388059079647064	 0.9020
135	1	ft-seed0	4	 valid	 0.44871795177459717	 0.3783545196056366	 0.8981
21	1	ft-seed0	5	 test	 0.5679012537002563	 0.49716848134994507	 0.8950
141	1	ft-seed0	5	 valid	 0.46357616782188416	 0.3597354590892792	 0.9040
27	1	ft-seed0	6	 test	 0.5486725568771362	 0.43432965874671936	 0.8980
147	1	ft-seed0	6	 valid	 0.43939390778541565	 0.3266245424747467	 0.9123
33	1	ft-seed0	7	 test	 0.6108786463737488	 0.4717611074447632	 0.9070
153	1	ft-seed0	7	 valid	 0.4313725531101227	 0.43972310423851013	 0.8969
39	1	ft-seed0	8	 test	 0.5909091234207153	 0.29768291115760803	 0.8920
159	1	ft-seed0	8	 valid	 0.4550897777080536	 0.3085547983646393	 0.8922
45	1	ft-seed0	9	 test	 0.560669481754303	 0.4620136320590973	 0.8950
165	1	ft-seed0	9	 valid	 0.44897958636283875	 0.37488117814064026	 0.9040
51	1	ft-seed0	10	 test	 0.6086956858634949	 0.42837387323379517	 0.9010
171	1	ft-seed0	10	 valid	 0.43478259444236755	 0.44988685846328735	 0.8922
57	1	ft-seed0	11	 test	 0.5660377740859985	 0.49595555663108826	 0.8850
177	1	ft-seed0	11	 valid	 0.4177215099334717	 0.41470322012901306	 0.8910
63	1	ft-seed0	12	 test	 0.5942028760910034	 0.44078487157821655	 0.8880
183	1	ft-seed0	12	 valid	 0.44692739844322205	 0.43711891770362854	 0.8827
69	1	ft-seed0	13	 test	 0.5753424763679504	 0.5054553747177124	 0.8760
189	1	ft-seed0	13	 valid	 0.4333333671092987	 0.42465242743492126	 0.8791
75	1	ft-seed0	14	 test	 0.607692301273346	 0.36369848251342773	 0.8980
195	1	ft-seed0	14	 valid	 0.4585987329483032	 0.32929185032844543	 0.8993
81	1	ft-seed0	15	 test	 0.5620437860488892	 0.3254164457321167	 0.8800
201	1	ft-seed0	15	 valid	 0.4497041702270508	 0.2714768946170807	 0.8898
87	1	ft-seed0	16	 test	 0.6101694703102112	 0.3997952938079834	 0.8850
207	1	ft-seed0	16	 valid	 0.4419889450073242	 0.36827152967453003	 0.8803
93	1	ft-seed0	17	 test	 0.5723905563354492	 0.4410214424133301	 0.8730
213	1	ft-seed0	17	 valid	 0.4365482032299042	 0.4674760699272156	 0.8685
99	1	ft-seed0	18	 test	 0.5785713791847229	 0.346145898103714	 0.8820
219	1	ft-seed0	18	 valid	 0.4134078323841095	 0.33745241165161133	 0.8756
105	1	ft-seed0	19	 test	 0.5414847135543823	 0.505227267742157	 0.8950
225	1	ft-seed0	19	 valid	 0.4217686951160431	 0.427654892206192	 0.8993
111	1	ft-seed0	20	 test	 0.5779467225074768	 0.5614640712738037	 0.8890
231	1	ft-seed0	20	 valid	 0.45000001788139343	 0.45731329917907715	 0.8957
117	1	ft-seed0	21	 test	 0.5573770403862	 0.516575813293457	 0.8920
237	1	ft-seed0	21	 valid	 0.4026845395565033	 0.4152399003505707	 0.8945
4	1	ft-seed1	2	 test	 0.5914397239685059	 0.5607386231422424	 0.8950
124	1	ft-seed1	2	 valid	 0.43589746952056885	 0.4342404901981354	 0.8957
10	1	ft-seed1	3	 test	 0.5737704634666443	 0.518389880657196	 0.8960
130	1	ft-seed1	3	 valid	 0.42953020334243774	 0.3975204527378082	 0.8993
16	1	ft-seed1	4	 test	 0.5836299061775208	 0.3816649615764618	 0.8830
136	1	ft-seed1	4	 valid	 0.37931036949157715	 0.36890846490859985	 0.8720
22	1	ft-seed1	5	 test	 0.6038960814476013	 0.4200931787490845	 0.8780
142	1	ft-seed1	5	 valid	 0.45000001788139343	 0.39361807703971863	 0.8697
28	1	ft-seed1	6	 test	 0.5573770999908447	 0.4661884605884552	 0.8650
148	1	ft-seed1	6	 valid	 0.4565217196941376	 0.38068053126335144	 0.8815
34	1	ft-seed1	7	 test	 0.5991902351379395	 0.5403699278831482	 0.9010
154	1	ft-seed1	7	 valid	 0.4556961953639984	 0.4898127019405365	 0.8981
40	1	ft-seed1	8	 test	 0.63670414686203	 0.29799285531044006	 0.9030
160	1	ft-seed1	8	 valid	 0.5176470279693604	 0.2861432135105133	 0.9028
46	1	ft-seed1	9	 test	 0.5886792540550232	 0.392250120639801	 0.8910
166	1	ft-seed1	9	 valid	 0.44720497727394104	 0.34671708941459656	 0.8945
52	1	ft-seed1	10	 test	 0.5737704634666443	 0.5335988402366638	 0.8960
172	1	ft-seed1	10	 valid	 0.4109589159488678	 0.43126046657562256	 0.8981
58	1	ft-seed1	11	 test	 0.5517241954803467	 0.40790465474128723	 0.8830
178	1	ft-seed1	11	 valid	 0.43113774061203003	 0.3307510316371918	 0.8874
64	1	ft-seed1	12	 test	 0.5423728823661804	 0.5214505195617676	 0.8920
184	1	ft-seed1	12	 valid	 0.46979862451553345	 0.40523862838745117	 0.9064
70	1	ft-seed1	13	 test	 0.5725191235542297	 0.42663702368736267	 0.8880
190	1	ft-seed1	13	 valid	 0.44692739844322205	 0.4057123363018036	 0.8827
76	1	ft-seed1	14	 test	 0.6165413856506348	 0.4142192006111145	 0.8980
196	1	ft-seed1	14	 valid	 0.4431818127632141	 0.35879600048065186	 0.8839
82	1	ft-seed1	15	 test	 0.5925925970077515	 0.31346964836120605	 0.8900
202	1	ft-seed1	15	 valid	 0.44171783328056335	 0.27289724349975586	 0.8922
88	1	ft-seed1	16	 test	 0.599303126335144	 0.4012908637523651	 0.8850
208	1	ft-seed1	16	 valid	 0.4093567132949829	 0.3552548289299011	 0.8803
94	1	ft-seed1	17	 test	 0.5680934190750122	 0.5617448687553406	 0.8890
214	1	ft-seed1	17	 valid	 0.48447200655937195	 0.4144614338874817	 0.9017
100	1	ft-seed1	18	 test	 0.5746268630027771	 0.5116666555404663	 0.8860
220	1	ft-seed1	18	 valid	 0.43023255467414856	 0.4778071343898773	 0.8839
106	1	ft-seed1	19	 test	 0.5517240762710571	 0.6141948103904724	 0.8440
226	1	ft-seed1	19	 valid	 0.42396309971809387	 0.6560723185539246	 0.8519
112	1	ft-seed1	20	 test	 0.5658263564109802	 0.4831385910511017	 0.8450
232	1	ft-seed1	20	 valid	 0.43103447556495667	 0.5641922950744629	 0.8436
118	1	ft-seed1	21	 test	 0.5827814340591431	 0.3617390990257263	 0.8740
238	1	ft-seed1	21	 valid	 0.3886255919933319	 0.39799734950065613	 0.8472
5	1	noft	2	 test	 0.5281385183334351	 0.4756642282009125	 0.8910
125	1	noft	2	 valid	 0.40287768840789795	 0.3857330083847046	 0.9017
11	1	noft	3	 test	 0.5643153190612793	 0.4803626239299774	 0.8950
131	1	noft	3	 valid	 0.3866666555404663	 0.47957706451416016	 0.8910
17	1	noft	4	 test	 0.5821918249130249	 0.3984341025352478	 0.8780
137	1	noft	4	 valid	 0.3932584226131439	 0.41079074144363403	 0.8720
23	1	noft	5	 test	 0.5921052694320679	 0.4569582939147949	 0.8760
143	1	noft	5	 valid	 0.46632125973701477	 0.41115298867225647	 0.8780
29	1	noft	6	 test	 0.5925925970077515	 0.411027729511261	 0.9010
149	1	noft	6	 valid	 0.4296296536922455	 0.3237917125225067	 0.9088
35	1	noft	7	 test	 0.5934960246086121	 0.47999921441078186	 0.9000
155	1	noft	7	 valid	 0.45945945382118225	 0.34085509181022644	 0.9052
41	1	noft	8	 test	 0.5552050471305847	 0.4669162631034851	 0.8590
161	1	noft	8	 valid	 0.44897958636283875	 0.4272935688495636	 0.8720
47	1	noft	9	 test	 0.5791505575180054	 0.45815664529800415	 0.8910
167	1	noft	9	 valid	 0.4125000238418579	 0.39577150344848633	 0.8886
53	1	noft	10	 test	 0.5773195624351501	 0.44457459449768066	 0.8770
173	1	noft	10	 valid	 0.41111111640930176	 0.4423538148403168	 0.8744
59	1	noft	11	 test	 0.563265323638916	 0.534534752368927	 0.8930
179	1	noft	11	 valid	 0.41134753823280334	 0.43552181124687195	 0.9017
65	1	noft	12	 test	 0.5795053243637085	 0.5075364708900452	 0.8810
185	1	noft	12	 valid	 0.45901644229888916	 0.4783734381198883	 0.8827
71	1	noft	13	 test	 0.5666667222976685	 0.48282700777053833	 0.8960
191	1	noft	13	 valid	 0.4647887349128723	 0.3755517303943634	 0.9100
77	1	noft	14	 test	 0.579365074634552	 0.4776264429092407	 0.8940
197	1	noft	14	 valid	 0.40522876381874084	 0.4339909851551056	 0.8922
83	1	noft	15	 test	 0.6067415475845337	 0.28845077753067017	 0.8950
203	1	noft	15	 valid	 0.43589746952056885	 0.28395193815231323	 0.8957
89	1	noft	16	 test	 0.607692301273346	 0.3595740497112274	 0.8980
209	1	noft	16	 valid	 0.4268292486667633	 0.35805508494377136	 0.8886
95	1	noft	17	 test	 0.6209386587142944	 0.5146023035049438	 0.8950
215	1	noft	17	 valid	 0.43023255467414856	 0.495402067899704	 0.8839
101	1	noft	18	 test	 0.5602836608886719	 0.46523019671440125	 0.8760
221	1	noft	18	 valid	 0.4482758641242981	 0.43405812978744507	 0.8863
107	1	noft	19	 test	 0.5919539928436279	 0.4383227527141571	 0.8580
227	1	noft	19	 valid	 0.4107142686843872	 0.4886990487575531	 0.8436
113	1	noft	20	 test	 0.6204081773757935	 0.41948041319847107	 0.9070
233	1	noft	20	 valid	 0.47887325286865234	 0.33019527792930603	 0.9123
119	1	noft	21	 test	 0.5813148617744446	 0.5301401019096375	 0.8790
239	1	noft	21	 valid	 0.40229886770248413	 0.5155616402626038	 0.8768
