,model_dir_parent,model_name,test Accuracy,test F1 score bin,test Loss,test Precision,test Recall,valid Accuracy,valid F1 score bin,valid Kappa,valid Kappa Linear,valid Kappa quadratic,valid Loss,valid Matthews Correff,valid Precision,valid Recall
25,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-0-clstrainseed-6.m,0.871999979019165,0.5259259343147278,0.43495768,0.5220588445663452,0.5298507213592529,0.8875622153282166,0.5271966457366943,0.4693596363067627,0.4693596363067627,0.4693596363067627,0.42494088,0.49612537026405334,0.40909090638160706,0.7411764860153198
26,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-0-clstrainseed-7.m,0.8880000114440918,0.6083915829658508,0.44418857,0.5723684430122375,0.6492537260055542,0.8815920352935791,0.5142857432365417,0.4539664387702942,0.4539664387702942,0.4539664387702942,0.43603382,0.4834991693496704,0.39375001192092896,0.7411764860153198
27,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-0-clstrainseed-8.m,0.8820000290870667,0.5755395889282227,0.42014074,0.5555555820465088,0.5970149040222168,0.8975124359130859,0.5422222018241882,0.48837268352508545,0.48837268352508545,0.48837268352508545,0.41575634,0.5076863169670105,0.4357142746448517,0.7176470756530762
28,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-0-clstrainseed-9.m,0.878000020980835,0.5704225897789001,0.4142061,0.5400000214576721,0.60447758436203,0.8815920352935791,0.5102880597114563,0.44977110624313354,0.44977110624313354,0.44977110624313354,0.4167918,0.47781258821487427,0.39240506291389465,0.729411780834198
29,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-1-clstrainseed-0.m,0.8790000081062317,0.5600000619888306,0.42112154,0.5460993051528931,0.5746268630027771,0.8835821151733398,0.5021276473999023,0.4418654441833496,0.4418654441833496,0.4418654441833496,0.4051946,0.4647730588912964,0.3933333456516266,0.6941176652908325
30,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-2-clstrainseed-0.m,0.8889999985694885,0.5714285969734192,0.3836243,0.5920000076293945,0.5522388219833374,0.8995025157928467,0.5470852255821228,0.49413174390792847,0.49413174390792847,0.49413174390792847,0.33868608,0.5125192999839783,0.4420289993286133,0.7176470756530762
31,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-3-clstrainseed-0.m,0.8849999904632568,0.581818163394928,0.41124687,0.567375898361206,0.5970149040222168,0.8835821151733398,0.5145227909088135,0.4548299312591553,0.4548299312591553,0.4548299312591553,0.3967426,0.48196941614151,0.39743590354919434,0.729411780834198
32,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-4-clstrainseed-0.m,0.8840000033378601,0.5735293626785278,0.41706002,0.5652173757553101,0.5820895433425903,0.8905472755432129,0.5132743716239929,0.4558476209640503,0.4558476209640503,0.4558476209640503,0.36353147,0.4744146466255188,0.41134750843048096,0.6823529601097107
33,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-5-clstrainseed-0.m,0.8870000243186951,0.5830258727073669,0.39492637,0.5766423344612122,0.5895522236824036,0.8865671753883362,0.5128204822540283,0.45401257276535034,0.45401257276535034,0.45401257276535034,0.38350523,0.4769718647003174,0.4026845693588257,0.7058823704719543
34,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-6-clstrainseed-0.m,0.8799999952316284,0.5714285373687744,0.4076149,0.5479452013969421,0.5970149040222168,0.8915423154830933,0.5198238492012024,0.463001549243927,0.463001549243927,0.463001549243927,0.38690126,0.48241302371025085,0.4154929518699646,0.6941176652908325
35,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-7-clstrainseed-0.m,0.8730000257492065,0.5347985029220581,0.41844708,0.5251798629760742,0.5447761416435242,0.8905472755432129,0.5089285373687744,0.4513375163078308,0.4513375163078308,0.4513375163078308,0.3708786,0.46865713596343994,0.4100719392299652,0.6705882549285889
36,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-8-clstrainseed-0.m,0.8930000066757202,0.5668015480041504,0.41020247,0.6194690465927124,0.5223880410194397,0.8895522356033325,0.5110132098197937,0.45314836502075195,0.45314836502075195,0.45314836502075195,0.36642167,0.4721467196941376,0.4084506928920746,0.6823529601097107
37,data/hate/pl-10-wiki/models/sp25k,lstm_noearly_stop_ft6_cl8_lmseed-1-ftseed-0-clsweightseed-9-clstrainseed-0.m,0.878000020980835,0.5514706373214722,0.4219941,0.54347825050354,0.5597015023231506,0.8925372958183289,0.5304348468780518,0.47438251972198486,0.47438251972198486,0.47438251972198486,0.37733713,0.49600058794021606,0.4206896424293518,0.7176470756530762
